Player,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CH Gayle,ICC/WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,331.0,1053.0,2150.0,3131.0,3853.0,4416.0,5633.0,6244.0,6876.0,7429.0,7885.0,8087.0,8432.0,8743.0,8810.0,9221.0,9221.0,9420.0,9727.0,10201.0
Mohammad Yousuf,Asia/PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,1049.0,2210.0,2798.0,4160.0,5328.0,6096.0,6981.0,7608.0,8650.0,9242.0,9543.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0,9720.0
AC Gilchrist,AUS/ICC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,304.0,1135.0,2376.0,3102.0,3848.0,4684.0,5782.0,6661.0,7553.0,8363.0,9297.0,9619.0,9619.0,9619.0,9619.0,9619.0,9619.0,9619.0,9619.0,9619.0,9619.0,9619.0,9619.0
AB de Villiers,Afr/SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,687.0,1896.0,2330.0,3092.0,4056.0,4523.0,5168.0,6331.0,7210.0,8403.0,8742.0,9515.0,9577.0,9577.0
M Azharuddin,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,972.0,1489.0,1970.0,2252.0,2774.0,3003.0,3655.0,4424.0,5113.0,5399.0,6330.0,7434.0,8702.0,9110.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0,9378.0
PA de Silva,SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,489.0,636.0,791.0,1311.0,1752.0,2222.0,2275.0,2813.0,3512.0,4224.0,4705.0,5893.0,7105.0,7799.0,8193.0,8334.0,8430.0,8894.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0,9284.0
Saeed Anwar,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,773.0,774.0,780.0,1504.0,2350.0,2540.0,4135.0,5021.0,5852.0,6764.0,7638.0,8349.0,8606.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0,8824.0
S Chanderpaul,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,309.0,824.0,1423.0,1581.0,2541.0,2645.0,3093.0,3717.0,3963.0,4631.0,5281.0,6229.0,7141.0,7719.0,8250.0,8648.0,8778.0,8778.0,8778.0,8778.0,8778.0,8778.0,8778.0,8778.0,8778.0
Yuvraj Singh,Asia/INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,498.0,1157.0,1757.0,2598.0,3437.0,4286.0,5573.0,6466.0,7249.0,7598.0,8051.0,8053.0,8329.0,8329.0,8329.0,8329.0,8701.0,8701.0,8701.0
DL Haynes,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,446.0,617.0,911.0,1042.0,1562.0,2375.0,3607.0,4023.0,4585.0,5331.0,6338.0,6621.0,7061.0,7706.0,8380.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0,8648.0
MS Atapattu,SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,43.0,43.0,43.0,43.0,127.0,1006.0,1750.0,2537.0,3479.0,4563.0,5755.0,6567.0,7296.0,7794.0,8386.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0,8529.0
ME Waugh,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,131.0,220.0,477.0,858.0,1603.0,2542.0,3010.0,4069.0,4745.0,5502.0,6970.0,7565.0,8374.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0
V Sehwag,Asia/ICC/INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,459.0,1589.0,2460.0,3131.0,4148.0,4756.0,5231.0,6124.0,6934.0,7380.0,8025.0,8242.0,8273.0,8273.0,8273.0,8273.0,8273.0,8273.0,8273.0
HH Gibbs,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,232.0,292.0,1097.0,1673.0,2519.0,3829.0,4522.0,4920.0,5646.0,6342.0,7222.0,7635.0,8060.0,8094.0,8094.0,8094.0,8094.0,8094.0,8094.0,8094.0,8094.0,8094.0,8094.0
Shahid Afridi,Asia/ICC/PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,1155.0,1604.0,2069.0,2673.0,3128.0,3871.0,3887.0,4125.0,4765.0,4880.0,5239.0,5517.0,5830.0,6431.0,6893.0,7075.0,7516.0,7870.0,8064.0,8064.0,8064.0,8064.0,8064.0
SP Fleming,ICC/NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,862.0,1570.0,1993.0,2799.0,3131.0,3708.0,4165.0,4937.0,5618.0,6539.0,6978.0,7368.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0,8037.0
LRPL Taylor,NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,852.0,1317.0,1948.0,2624.0,3185.0,3408.0,3918.0,4580.0,5626.0,5826.0,6794.0,7433.0,8026.0
RG Sharma,INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,593.0,695.0,1199.0,1810.0,1978.0,3174.0,3752.0,4567.0,5131.0,6424.0,7454.0,8010.0
MJ Clarke,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,942.0,1896.0,2625.0,3606.0,4077.0,4945.0,5722.0,6622.0,7278.0,7581.0,7762.0,7981.0,7981.0,7981.0,7981.0,7981.0
HM Amla,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,848.0,1906.0,2538.0,3216.0,4054.0,4946.0,6008.0,6519.0,7381.0,7696.0,7923.0
SR Waugh,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,1095.0,1422.0,1799.0,2125.0,2342.0,2622.0,2987.0,3607.0,3852.0,4629.0,5100.0,5686.0,6320.0,6897.0,7382.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0,7569.0
Shoaib Malik,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,51.0,145.0,514.0,1134.0,2029.0,2639.0,3277.0,3984.0,4665.0,5075.0,5188.0,5223.0,5287.0,5490.0,5490.0,6097.0,6410.0,6926.0,7284.0,7526.0
A Ranatunga,SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,213.0,351.0,634.0,958.0,1300.0,1640.0,1877.0,2442.0,2594.0,2954.0,3526.0,4366.0,4818.0,5425.0,6240.0,7036.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0,7456.0
Javed Miandad,PAK,0.0,0.0,0.0,0.0,52.0,99.0,199.0,256.0,302.0,349.0,543.0,1044.0,1337.0,1812.0,2533.0,3165.0,4249.0,4856.0,5343.0,5654.0,5795.0,6737.0,7327.0,7327.0,7327.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0,7381.0
Younis Khan,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,650.0,1823.0,2508.0,2908.0,3181.0,3796.0,4413.0,5278.0,5698.0,5913.0,6657.0,6882.0,7014.0,7177.0,7249.0,7249.0,7249.0,7249.0,7249.0
Saleem Malik,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,176.0,427.0,534.0,1333.0,1872.0,2803.0,3406.0,3591.0,4245.0,4466.0,5214.0,5441.0,6345.0,6883.0,7054.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0,7170.0
NJ Astle,NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,974.0,1621.0,2512.0,3081.0,3926.0,4661.0,5280.0,5540.0,6030.0,6458.0,7044.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0,7090.0
EJG Morgan,ENG/IRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,549.0,600.0,1107.0,1798.0,2241.0,2605.0,3165.0,3725.0,4692.0,5020.0,5801.0,6557.0,7034.0
GC Smith,Afr/SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,1343.0,1995.0,2979.0,3540.0,4619.0,5111.0,5613.0,5941.0,6360.0,6698.0,6989.0,6989.0,6989.0,6989.0,6989.0,6989.0,6989.0
WU Tharanga,Asia/SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,1357.0,1995.0,2133.0,2656.0,3363.0,4189.0,4941.0,5228.0,5339.0,5407.0,5621.0,6632.0,6936.0,6951.0
MG Bevan,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,526.0,1286.0,2014.0,2973.0,3922.0,4803.0,5384.0,5850.0,6634.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0,6912.0
G Kirsten,SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,621.0,983.0,2425.0,3018.0,3579.0,4044.0,5511.0,6149.0,6612.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0,6798.0
A Flower,ZIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,644.0,869.0,1032.0,1404.0,2170.0,2942.0,3794.0,4737.0,5797.0,6454.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0,6786.0
IVA Richards,WI,0.0,0.0,0.0,0.0,112.0,328.0,348.0,357.0,883.0,1211.0,1367.0,1750.0,2480.0,3175.0,4406.0,4739.0,5629.0,5950.0,6442.0,6501.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0,6721.0
Tamim Iqbal,BDESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,1262.0,1864.0,2640.0,3115.0,3462.0,3702.0,3971.0,4713.0,5120.0,5766.0,6450.0,6636.0
GW Flower,ZIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,353.0,486.0,624.0,1096.0,1939.0,2867.0,3651.0,4299.0,5415.0,5809.0,6277.0,6536.0,6536.0,6536.0,6536.0,6536.0,6536.0,6571.0,6571.0,6571.0,6571.0,6571.0,6571.0,6571.0,6571.0,6571.0,6571.0
Ijaz Ahmed,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,389.0,837.0,1146.0,1594.0,1677.0,1750.0,1750.0,2226.0,2391.0,3672.0,4776.0,5575.0,6162.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0,6564.0
AR Border,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,419.0,873.0,1219.0,1647.0,2085.0,2915.0,3510.0,4152.0,4364.0,4897.0,5437.0,5766.0,5978.0,6199.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0,6524.0
MJ Guptill,NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,1101.0,1751.0,2151.0,2557.0,2953.0,4442.0,5169.0,5553.0,5976.0,6440.0
Mohammad Hafeez,PAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,419.0,543.0,798.0,874.0,874.0,874.0,1244.0,2319.0,2795.0,4096.0,4456.0,5238.0,5404.0,5959.0,6153.0,6377.0
RB Richardson,WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,428.0,1129.0,1668.0,2124.0,2717.0,3530.0,3871.0,4529.0,5082.0,5517.0,5641.0,5887.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0,6248.0
BRM Taylor,ZIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,684.0,1491.0,1790.0,1929.0,2519.0,3242.0,3985.0,4112.0,4414.0,4825.0,5258.0,5258.0,5258.0,6156.0,6156.0
ML Hayden,AUS/ICC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,286.0,286.0,286.0,286.0,286.0,286.0,477.0,788.0,1666.0,2703.0,3649.0,4131.0,4234.0,5835.0,6133.0,6133.0,6133.0,6133.0,6133.0,6133.0,6133.0,6133.0,6133.0,6133.0,6133.0,6133.0
BB McCullum,NZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,373.0,617.0,1026.0,1220.0,2019.0,2637.0,3387.0,3711.0,4181.0,4597.0,5017.0,5200.0,5964.0,6083.0,6083.0,6083.0,6083.0
DM Jones,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,481.0,801.0,1738.0,2328.0,3044.0,4218.0,4690.0,5312.0,5599.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0,6068.0
